"","city","city_eng","province","year","cityid","abv_prov","resid_price","resid_area","housing_price","CPI","nmzrk","each_salary","houseinvest_re","ind_area"
"63","临汾市","Linfen","山西省",2009,1410,0,447.6196,158.8731,2573,235.576278686523,83.3,24216.8,338718,265.9571
"64","临汾市","Linfen","山西省",2010,1410,0,762.4134,204.1902,2381.03161398,256.306976318359,83.58,23080.6,255478,398.856
"65","临汾市","Linfen","山西省",2011,1410,0,1220.275,213.4386,2708.265033,295.711090087891,84.1,28522.8,301763,541.8824
"66","临汾市","Linfen","山西省",2012,1410,0,1381.001,130.8527,2779.75300674,332.970703125,80.6,32825.8,418718,366.8077
"67","临沂市","Linyi","山东省",2007,3713,0,480.0647,1251.19,1824,211.793212890625,195.86,19127.4,504852,679.8733
"68","临沂市","Linyi","山东省",2008,3713,0,637.2698,1058.667,2026,239.961700439453,197.71,24101.5,874408,658.1175
"69","临沂市","Linyi","山东省",2009,3713,0,598.0621,943.7164,2385,265.877563476562,199.46,27666.8,1100000,1182.517
"70","临沂市","Linyi","山东省",2010,3713,0,949.0233,1120.708,2745.69166279,293.52880859375,210.93,31724,1200000,1715.371
"71","临沂市","Linyi","山东省",2011,3713,0,1175.372,1079.668,3154.955254,341.561614990234,246.9,37445.6,1400000,1769.69
"72","临沂市","Linyi","山东省",2012,3713,0,1287.163,315.1983,3885.35688006,377.083984375,248.6,42137.9,1700000,730.2112
"73","临沧市","Lincang","云南省",2007,5309,0,31.25881,185.2859,1092,128.184585571289,28.83,18269.3,42456,94.6411
"74","临沧市","Lincang","云南省",2008,5309,0,28.79202,182.2602,1716,134.465621948242,29.12,20693.6,54963,3.9055
"75","临沧市","Lincang","云南省",2009,5309,0,210.5979,198.5616,1454,150.467025756836,30.69,24635.6,94260,30.7456
"76","临沧市","Lincang","云南省",2010,5309,0,64.62107,139.0359,2171.65668663,168.974472045898,32.4,26390.3,148382,100.2441
"77","临沧市","Lincang","云南省",2011,5309,0,633.8978,22.0329,2267.175573,205.375457763672,31.6,30189.4,202081,99.1357
"78","临沧市","Lincang","云南省",2012,5309,0,162.515,52.53386,2429.48717949,233.511901855469,31.8,28200.7853658537,349105,26.2999
"79","丹东市","Dandong","辽宁省",2007,2106,0,150.5238,613.0749,2222,170.894424438477,76.48,18671.8,374282,207.2245
